train,val,test
Case29,Case77,Case214
Case106,Case83,Case104
Case186,Case89,Case154
Case191,Case143,Case67
Case8,Case200,Case39
Case110,Case97,Case48
Case141,Case32,Case78
Case105,Case56,Case24
Case174,Case91,Case73
Case38,Case179,Case139
Case199,Case153,Case79
Case118,Case184,Case198
Case107,Case121,Case10
Case158,Case176,Case2
Case41,Case208,Case103
Case122,Case34,Case197
Case35,Case164,Case88
Case102,Case213,Case80
Case7,Case190,Case203
Case84,Case108,Case133
Case212,Case19,Case177
Case98,Case18,Case169
Case144,Case193,
Case142,Case146,
Case111,Case57,
Case160,Case16,
Case116,Case150,
Case33,Case136,
Case168,Case37,
Case9,Case178,
Case166,,
Case6,,
Case138,,
Case171,,
Case132,,
Case175,,
Case204,,
Case159,,
Case137,,
Case161,,
Case163,,
Case27,,
Case46,,
Case93,,
Case85,,
Case205,,
Case53,,
Case17,,
Case194,,
Case25,,
Case172,,
Case140,,
Case128,,
Case109,,
Case87,,
Case75,,
Case40,,
Case101,,
Case134,,
Case165,,
Case81,,
Case148,,
Case90,,
Case173,,
Case127,,
Case71,,
Case113,,
Case167,,
Case43,,
Case145,,
Case82,,
Case162,,
Case61,,
Case62,,
Case20,,
Case5,,
Case187,,
Case72,,
Case36,,
Case215,,
Case188,,
Case196,,
Case202,,
Case76,,
Case130,,
Case23,,
Case26,,
Case66,,
Case181,,
Case185,,
Case182,,
Case45,,
Case52,,
Case129,,
Case120,,
Case115,,
Case210,,
Case64,,
Case31,,
Case55,,
Case30,,
Case180,,
Case156,,
Case112,,
Case14,,
Case123,,
Case68,,
Case69,,
Case92,,
Case152,,
Case13,,
Case100,,
Case12,,
Case54,,
Case59,,
Case149,,
Case58,,
Case170,,
Case155,,
Case22,,
