train,val,test
Case29,Case81,Case214
Case106,Case148,Case104
Case186,Case90,Case154
Case191,Case173,Case67
Case8,Case127,Case39
Case110,Case71,Case48
Case141,Case113,Case78
Case105,Case167,Case24
Case174,Case43,Case73
Case38,Case145,Case139
Case199,Case82,Case79
Case118,Case162,Case198
Case107,Case61,Case10
Case158,Case62,Case2
Case41,Case20,Case103
Case122,Case5,Case197
Case35,Case187,Case88
Case102,Case72,Case80
Case7,Case36,Case203
Case84,Case215,Case133
Case212,Case188,Case177
Case98,Case196,Case169
Case144,Case202,
Case142,Case76,
Case111,Case130,
Case160,Case23,
Case116,Case26,
Case33,Case66,
Case168,Case181,
Case9,Case185,
Case166,,
Case6,,
Case138,,
Case171,,
Case132,,
Case175,,
Case204,,
Case159,,
Case137,,
Case161,,
Case163,,
Case27,,
Case46,,
Case93,,
Case85,,
Case205,,
Case53,,
Case17,,
Case194,,
Case25,,
Case172,,
Case140,,
Case128,,
Case109,,
Case87,,
Case75,,
Case40,,
Case101,,
Case134,,
Case165,,
Case77,,
Case83,,
Case89,,
Case143,,
Case200,,
Case97,,
Case32,,
Case56,,
Case91,,
Case179,,
Case153,,
Case184,,
Case121,,
Case176,,
Case208,,
Case34,,
Case164,,
Case213,,
Case190,,
Case108,,
Case19,,
Case18,,
Case193,,
Case146,,
Case57,,
Case16,,
Case150,,
Case136,,
Case37,,
Case178,,
Case182,,
Case45,,
Case52,,
Case129,,
Case120,,
Case115,,
Case210,,
Case64,,
Case31,,
Case55,,
Case30,,
Case180,,
Case156,,
Case112,,
Case14,,
Case123,,
Case68,,
Case69,,
Case92,,
Case152,,
Case13,,
Case100,,
Case12,,
Case54,,
Case59,,
Case149,,
Case58,,
Case170,,
Case155,,
Case22,,
